Year of release,Aired On,Number of Episodes,Duration,Content Rating,Rating,Screenwriter,Rank,Genre_Main,Cast_Main
2021,"Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.7,Lee Na Eun,#42,Romance,Choi Woo Shik
2018," Wednesday, Thursday",16,1 hr. 7 min.,18+ Restricted (violence & profanity),8.8,"Seo Jae Won, Kwon So Ra",#43,Thriller,Kim Dong Wook
2016," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,Noh Hee Kyung,#44,Life,Go Hyun Jung
2017," Wednesday, Thursday",32,30 min.,15+ - Teens 15 or older,8.7,Park Hye Ryun,#45,Mystery,Bae Suzy
2021," Friday, Saturday",13,1 hr. 15 min.,15+ - Teens 15 or older,8.8,Kim Soon Ok,#46,Thriller,Kim So Yeon
2017," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,Jin Soo Wan,#47,Comedy,Yoo Ah In
2020," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Kim Do Yeon, Ahn Eun Bin, Choi Yi Ryun",#48,Romance,Kim Ha Neul
2019," Saturday, Sunday",6,1 hr. 21 min.,15+ - Teens 15 or older,8.7,"Kim Young Hyun, Park Sang Yeon",#49,Historical,Song Joong Ki
2019," Saturday, Sunday",6,1 hr. 20 min.,15+ - Teens 15 or older,8.7,"Kim Young Hyun, Park Sang Yeon",#50,Historical,Song Joong Ki
2022,"Friday, Saturday",12,1 hr. 10 min.,18+ Restricted (violence & profanity),8.7,"Seol Yi Na, Kwon Il Yong",#51,Thriller,Kim Nam Gil
2020," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,Kang Eun Kyung,#52,Romance,Han Seok Kyu
2017," Monday, Tuesday",18,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Choi Soo Jin, Choi Chang Hwan",#53,Thriller,Ji Sung
2022,"Saturday, Sunday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.7,Noh Hee Kyung,#54,Romance,Lee Byung Hun
2020,Friday,10,52 min.,18+ Restricted (violence & profanity),8.7,Kim Hyung Min,#55,Horror,Song Kang
2015," Wednesday, Thursday",20,1 hr. 2 min.,15+ - Teens 15 or older,8.7,Jin Soo Wan,#56,Psychological,Ji Sung
2016," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.7,Jo Yoon Young,#57,Historical,Lee Joon Gi
2022,"Monday, Tuesday",12,60 min.,15+ - Teens 15 or older,8.7,"Han Sul Hee, Hong Bo Hee",#58,Comedy,Shin Ha Ri is a single woman and works for a company. She has a male friend
2014," Friday, Saturday",20,1 hr. 20 min.,15+ - Teens 15 or older,8.7,Jung Yoon Jung,#59,Friendship,Im Si Wan
2017," Friday, Saturday",16,1 hr. 7 min.,15+ - Teens 15 or older,8.7,Baek Mi Kyung,#60,Action,Park Bo Young
2019," Friday, Saturday",40,35 min.,15+ - Teens 15 or older,8.7,Park Jae Bum,#61,Action,Kim Nam Gil
2021,Friday,8,50 min.,18+ Restricted (violence & profanity),8.7,Kim Ba Da,#62,Action,Han So Hee
2019," Saturday, Sunday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.7,"Hong Jung Eun, Hong Mi Ran",#63,Horror,IU
2019," Friday, Saturday",16,1 hr. 2 min.,15+ - Teens 15 or older,8.7,Lee Shin Hwa,#64,Drama,Namkoong Min
2016," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.7,Kang Eun Kyung,#65,Romance,Han Seok Kyu
2016," Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.7,"Kim Eun Sook, Kim Won Seok",#66,Action,Song Joong Ki
2021," Wednesday, Thursday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.7,Seo In,#67,Mystery,Kim Myung Min
2019," Saturday, Sunday",10,60 min.,15+ - Teens 15 or older,8.7,Jung Yi Do,#68,Thriller,Im Si Wan
2018," Saturday, Sunday",18,1 hr. 15 min.,15+ - Teens 15 or older,8.7,Noh Hee Kyung,#69,Friendship,Lee Kwang Soo
2017," Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.7,Lee Eun Mi,#70,Thriller,Choi Jin Hyuk
2022,"Saturday, Sunday",16,1 hr. 7 min.,15+ - Teens 15 or older,8.6,Park Hae Young,#71,Romance,Kim Ji Won
2019," Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.6,"Jo Won Gi, Min Ji Eun",#72,Mystery,Jung Jae Young
2014," Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.6,Noh Hee Kyung,#74,Psychological,Jo In Sung
2022,"Saturday, Sunday",12,1 hr. 15 min.,15+ - Teens 15 or older,8.6,Jung Seo Kyung,#75,Action,Kim Go Eun
2022,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.6,Kim Eun Hee,#76,Comedy,Rain
2018," Monday, Tuesday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.6,Kim Ki Ho,#77,Comedy,Kim Jung Hyun
2012," Wednesday, Thursday",28,1 hr. 5 min.,15+ - Teens 15 or older,8.6,Yoo Hyun Mi,#78,Action,Joo Won
2018," Wednesday, Thursday",32,30 min.,15+ - Teens 15 or older,8.6,Do Hyun Jung,#79,Thriller,Kim Sun Ah
2017," Wednesday, Thursday",20,60 min.,15+ - Teens 15 or older,8.6,Park Jae Bum,#80,Business,Namkoong Min
2022,Friday,12,55 min.,18+ Restricted (violence & profanity),8.6,Tak Jae Young,#81,Thriller,Kim Dong Wook
2022,"Friday, Saturday",16,1 hr. 11 min.,15+ - Teens 15 or older,8.6,"Jang Young Chul, Jung Kyung Soon",#82,Thriller,Lee Jong Suk
2017," Friday, Saturday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,Kwon Hye Joo,#83,Comedy,Jang Na Ra
2013," Monday, Tuesday",51,1 hr. 5 min.,15+ - Teens 15 or older,8.6,"Jang Young Chul, Jung Kyung Soon",#84,Historical,Ha Ji Won
2017," Saturday, Sunday",52,1 hr. 6 min.,15+ - Teens 15 or older,8.6,Lee Jung Sun,#85,Comedy,Kim Yeong Cheol
2020," Saturday, Sunday",100,35 min.,15+ - Teens 15 or older,8.6,Yang Hee Seung,#86,Comedy,Chun Ho Jin
2020," Saturday, Sunday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,"Ban Ki Ri, Jung So Young",#87,Thriller,Go Soo
2020," Saturday, Sunday",16,1 hr. 2 min.,15+ - Teens 15 or older,8.6,Lee Soo Yeon,#88,Thriller,Jo Seung Woo
2019," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.6,Kim Tae Hee,#89,Thriller,Ji Jin Hee
2022,Friday,10,1 hr. 2 min.,18+ Restricted (violence & profanity),8.6,Kim Min Sook,#90,Law,Kim Hye Soo
2013," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.6,Yoo Sung Yeol,#91,Action,Jung Kyung Ho
2013," Wednesday, Thursday",21,58 min.,15+ - Teens 15 or older,8.6,Park Ji Eun,#92,Comedy,Kim Soo Hyun
2020," Wednesday, Thursday",12,1 hr. 8 min.,15+ - Teens 15 or older,8.6,Ha Yoon Ah,#93,Mystery,Hwang Jung Eum
2016," Friday, Saturday",12,60 min.,15+ - Teens 15 or older,8.6,Park Yeon Sun,#94,Friendship,Han Ye Ri
2017," Monday, Tuesday",16,1 hr. 13 min.,15+ - Teens 15 or older,8.6,Yoo Bo Ra,#95,Psychological,Lee Jun Ho
2017," Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.6,Jung Yi Do,#96,Action,Seo Yea Ji
2021,"Friday, Saturday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.6,Kim Sae Bom,#97,Action,Lee Dong Wook
2020," Monday, Tuesday",24,35 min.,15+ - Teens 15 or older,8.6,"Lee Seo Yoon, Lee Soo Kyung",#98,Thriller,Lee Joon Hyuk
2013," Wednesday, Thursday",17,1 hr. 2 min.,15+ - Teens 15 or older,8.6,"Hong Jung Eun, Hong Mi Ran",#99,Horror,Gong Hyo Jin
2017," Wednesday, Thursday",12,60 min.,15+ - Teens 15 or older,8.6,"Kim Yi Ji, Hwang Da Eun",#100,Friendship,Lee Yo Won
2017," Monday, Tuesday",30,60 min.,15+ - Teens 15 or older,8.5,Hwang Jin Young,#101,Action,Yoon Kyun Sang
2020," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,Kim Eun Hyang,#102,Thriller,Kim Seo Hyung
2014,Saturday,11,1 hr. 5 min.,18+ Restricted (violence & profanity),8.5,Han Jung Hoon,#103,Action,Kim Sang Joong
2019," Friday, Saturday",16,60 min.,15+ - Teens 15 or older,8.5,Kim Ji Woo,#104,Life,Park Hee Soon 
2019," Saturday, Sunday",6,1 hr. 20 min.,15+ - Teens 15 or older,8.5,"Kim Young Hyun, Park Sang Yeon",#105,Historical,Song Joong Ki
2020," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,Lee Soo Hyun,#106,Action,Shin Sung Rok
2013," Wednesday, Thursday",18,60 min.,15+ - Teens 15 or older,8.5,Park Hye Ryun,#107,Mystery,Lee Jong Suk
2018," Wednesday, Thursday",16,1 hr. 9 min.,15+ - Teens 15 or older,8.5,"Baek Sun Woo, Choi Bo Rim",#108,Friendship,Park Min Young
2019," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"Jang Young Chul, Jung Kyung Soon",#109,Action,Lee Seung Gi
2021,"Saturday, Sunday",8,1 hr. 10 min.,18+ Restricted (violence & profanity),8.5,Kwon Soon Gyu,#110,Thriller,Kim Soo Hyun
2012,Tuesday,16,60 min.,15+ - Teens 15 or older,8.5,"Lee Woo Jung, Kim Ran Joo",#111,Comedy,Jung Eun Ji
2019," Friday, Saturday",32,35 min.,15+ - Teens 15 or older,8.5,Kim Ji Woon,#112,Mystery,Ji Sung
2020,"Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,Kwon Hye Joo,#113,Romance,Kim Tae Hee
2017,"Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.5,Ma Jin Won,#114,Thriller,Jang Hyuk
2017," Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.5,Im Sang Choon,#115,Business,Park Seo Joon
2021,Friday,9,60 min.,18+ Restricted (violence & profanity),8.5,Hwang Dong Hyuk,#116,Action,Lee Jung Jae
2016,"Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.5,Song Jae Jung,#117,Thriller,Han Hyo Joo
2021,"Monday, Tuesday, Wednesday",13,35 min.,15+ - Teens 15 or older,8.5,Ah Kyung,#119,Comedy,Oh Yeon Seo
2021," Wednesday, Thursday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.5,Son Eun Hye,#120,Comedy,Park Gyu Young
2018,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.5,Jo Sung Hee,#121,Music,Shin Hye Sun
2019," Wednesday, Thursday",40,35 min.,15+ - Teens 15 or older,8.5,Im Sang Choon,#122,Thriller,Gong Hyo Jin
2019,"Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.5,Kim Young Young,#123,Comedy,Chun Woo Hee
2020,"Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,Cho Kwang Jin,#124,Business,Park Seo Joon
2021,"Saturday, Sunday",16,1 hr. 30 min.,15+ - Teens 15 or older,8.5,Yoo Hyun Mi,#125,Romance,Jung Hae In
2017,"Monday, Tuesday",12,1 hr. 5 min.,15+ - Teens 15 or older,8.5,"Kim Jin Hee, Yoo Hye Mi, Ryu Moon Sang, Park Eun Mi",#126,Thriller,Yeo Jin Goo
2017," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,Yoon Nan Joong,#127,Comedy,Jung So Min
2011,"Wednesday, Thursday",24,1 hr. 5 min.,15+ - Teens 15 or older,8.5,Jo Jung Joo,#128,Action,Park Shi Hoo
2022,"Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,Kwon Ki Kyung,#129,Thriller,Ok Taec Yeon
2013,"Wednesday, Thursday",16,1 hr. 8 min.,15+ - Teens 15 or older,8.5,So Hyun Kyung,#130,Action,Lee Joon Gi
2021,Friday,12,35 min.,18+ Restricted (violence & profanity),8.5,Wi So Young,#131,Comedy,Lee Sun Bin
2022,"Friday, Saturday",12,50 min.,15+ - Teens 15 or older,8.5,"Kang Go-eun, Seo Han-na",#133,Business,Kwak Dong Yeon
2019,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.5,Choi Yoon Kyo,#134,Comedy,Kim Myung Soo
2020,"Friday, Saturday",16,1 hr. 20 min.,18+ Restricted (violence & profanity),8.5,Joo Hyun,#135,Thriller,Kim Hee Ae
2022,Friday,12,1 hr. 2 min.,18+ Restricted (violence & profanity),8.5,Chun Sung Il,#136,Action,Park Ji Hoo
2020,Wednesday,10,55 min.,18+ Restricted (violence & profanity),8.5,Jin Han Sae,#137,Psychological,Kim Dong Hee
2021," Friday, Saturday",14,1 hr. 10 min.,13+ - Teens 13 or older,8.5,"Song Jae Jung, Kim Yoon Joo, Kim Kyung Ran",#138,Psychological,Kim Go Eun
2021,"Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,Kim Ji Hye,#139,Life,Jeon Do Yeon
2012,"Wednesday, Thursday",16,45 min.,15+ - Teens 15 or older,8.4,Song Jae Jung,#140,Historical,Ji Hyun Woo
2022,"Friday, Saturday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Choi Soo Jin, Choi Chang Hwan",#141,Comedy,Namkoong Min
2022,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,Jo Young Soo,#142,Romance,Ji Chang Wook
2017,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,Kim Sun Mi,#143,Comedy,Yoo Seung Ho
2020,"Wednesday, Thursday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Ahn Do Ha, Hwang Ha Na",#144,Action,Yoo Seung Ho
2018,"Saturday, Sunday",12,60 min.,15+ - Teens 15 or older,8.4,Ma Jin Won,#145,Thriller,Lee  Ha Na
2021,"Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,Im Me Ah Ri,#146,Comedy,Park Bo Young
2017,"Saturday, Sunday",16,1 hr. 3 min.,15+ - Teens 15 or older,8.4,Kim Yoon Joo,#147,Thriller,Jung Jae Young
2019,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,Kwon Do Eun,#148,Business,Im Soo Jung
2022,"Saturday, Sunday",16,1 hr. 13 min.,15+ - Teens 15 or older,8.4,Ha Yoon Ah,#149,Mystery,Park Hae Jin
2015,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,Kwon Ki Young,#150,Thriller,Seo In Guk
2012,"Wednesday, Thursday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.4,Jin Soo Wan,#151,Historical,Han Ga In
2020,"Saturday, Sunday",12,60 min.,15+ - Teens 15 or older,8.4,Park Ga Yun,#152,Thriller,Yoon Shi Yoon
2022,"Friday, Saturday",16,60 min.,15+ - Teens 15 or older,8.4,"Choi Young Woo, Choi Yeon Seo",#153,Comedy,Lee Sung Kyung
2019,"Monday, Tuesday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,"Shin Ha Eun, Kim Sung Deok",#154,Historical,Yeo Jin Goo
2017,"Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.4,Kim Soo Jin,#155,Action,Yoo Ji Tae
2020,"Monday, Tuesday",8,1 hr. 5 min.,15+ - Teens 15 or older,8.4,Kim Ji Soo,#156,Comedy,Uhm Ji Won
2013,"Monday, Tuesday",20,52 min.,15+ - Teens 15 or older,8.4,"Song Jae Jung, Kim Yoon Joo",#157,Mystery,Lee Jin Wook
2019,"Wednesday, Thursday",32,35 min.,13+ - Teens 13 or older,8.4,"In Ji Hye, Song Ha Young",#158,Comedy,Kim Hye Yoon
2014,"Wednesday, Thursday",20,58 min.,15+ - Teens 15 or older,8.4,Park Hye Ryun,#159,Thriller,Lee Jong Suk
2019,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,Park Kye Ok,#160,Thriller,Namkoong Min
2022,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,Heo Sung Hye,#161,Romance,Park Ju Hyun
2020,"Monday, Tuesday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.4,Kim Eun Jung,#162,Life,Han Ye Ri
2019,"Wednesday, Thursday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.4,Kim Hye Young,#163,Business,Park Min Young
2017,"Friday, Saturday",14,60 min.,15+ - Teens 15 or older,8.4,Park Yeon Sun,#164,Mystery,Han Ye Ri
2013,"Wednesday, Thursday",16,1 hr. 2 min.,15+ - Teens 15 or older,8.4,"Choi Ho Chul, Yoo Bo Ra",#165,Romance,Ji Sung
2022,"Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,Yoon Hyun Ho,#166,Action,Ahn Bo Hyun
2022,Friday,8,54 min.,15+ - Teens 15 or older,8.4,Soo Hugh,#167,Historical,Kim Min Ha
2021,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Baek Sun Woo, Choi Bo Rim",#168,Comedy,Jang Ki Yong
2022,Friday,14,1 hr. 5 min.,15+ - Teens 15 or older,8.4,"Song Jae Jung, Kim Yoon Joo, Kim Kyung Ran",#169,Comedy,Kim Go Eun
2019,"Friday, Saturday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,Chae Seung Dae,#170,Action,Yang Se Jong
2021,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Ha Soo Jin, Jung Yeon Seo, Lee Young Hwa",#171,Thriller,Jang Na Ra
2018,"Saturday, Sunday",14,1 hr. 5 min.,15+ - Teens 15 or older,8.4,Shin Jae Hyung,#172,Action,Song Seung Heon
2016,"Wednesday, Thursday",20,60 min.,15+ - Teens 15 or older,8.4,Park Ji Eun,#173,Comedy,Lee Min Ho
2018,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,Lee Ah Ram,#174,Thriller,Jang Ki Yong
2018,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.4,"Min Ji Eun, Won Young Shil",#175,Thriller,Jung Jae Young
2022,Wednesday,16,25 min.,13+ - Teens 13 or older,8.4,"Kim Na Neui, Park Yoon Sung",#176,Comedy,Seo Ji Hoon
2019,"Monday, Tuesday",32,33 min.,15+ - Teens 15 or older,8.4,"Baek So Yeon, Im Ye Jin",#177,Action,Jang Dong Yoon
2019,"Wednesday, Thursday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,"Ryu Yong Jae, Kim Hwan Chae, Choi Sung Joon",#178,Thriller,Yoon Shi Yoon
2018,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,Im Me Ah Ri,#179,Comedy,Seo Hyun Jin
2020,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,Han Woo Ri,#180,Thriller,Lee Dong Wook
2020,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,Choi Jin Won,#181,Action,Son Hyun Joo
2019,"Monday, Tuesday",16,1 hr. 4 min.,15+ - Teens 15 or older,8.4,Yang Jin Ah,#182,Thriller,Park Jin Young
2019,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,Kim Eun,#183,Romance,Jung Hae In
2022,Wednesday,4,44 min.,13+ - Teens 13 or older,8.4,Ahn Sae Bom,#184,Music,Park Hyung Sik
2011,"Wednesday, Thursday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.4,"Choi Soo Jin, Hwang Eun Kyung",#185,Action,Lee Min Ho
2019,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Jang Hong Chul,#186,Thriller,Yoon Kyun Sang
2018,"Monday, Tuesday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,Noh Ji Sul,#187,Historical,Doh Kyung Soo
2021,"Monday, Tuesday",12, 1 hr. 3 min.,15+ - Teens 15 or older,8.3,"Ji Nyoong, Jung Won-Jung",#188,Romance,Park Ji Hoon
2020,"Friday, Saturday",16,1 hr. 9 min.,15+ - Teens 15 or older,8.3,Kim Ji Eun,#189,Thriller,Lee Yoo Ri
2022,Friday,6,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Kim Min Jung,#190,Music,Ji Chang Wook
2021,Friday,8,20 min.,15+ - Teens 15 or older,8.3,Han Song-yi,#191,Mystery,Choi Hyun Suk
2013,"Monday, Tuesday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,Park Jae Bum,#192,Romance,Joo Won
2021,Friday,1,20 min.,G - All Ages,8.3,Kim Eun Hee,#193,Comedy,Choi Hyun Suk
2022,Wednesday,16,60 min.,15+ - Teens 15 or older,8.3,Lee Ha Na,#194,Romance,Kang Daniel
2020,"Wednesday, Thursday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,Lee Shi Eun,#195,Comedy,Moon Ga Young
2015,"Friday, Saturday",16,60 min.,13+ - Teens 13 or older,8.3,Yang Hee Seung,#196,Thriller,Park Bo Young
2014,"Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,Choi Ran,#197,Thriller,Lee Bo Young
2016,"Monday, Thursday",20,15 min.,15+ - Teens 15 or older,8.3,Kwon Hye Joo,#198,Comedy,Lee Kwang Soo
2021,"Friday, Saturday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.3,Park Seok Ho,#199,Action,Namkoong Min
